userId,username,email,companyId,cediId,regUser,regDate,regTime,modUser,modDate,modTime,active,delete
USR054,user054,user054@corp.com,3,CEDI03,root,2022-01-05,06:52:58,null,null,null,true,false
USR055,user055,user055@corp.com,5,CEDI05,admin,2022-04-01,08:41:22,admin,2024-10-09,13:25:06,true,false
USR056,user056,user056@corp.com,7,CEDI05,system,2022-01-08,13:16:03,admin,2024-04-04,06:39:50,true,false
USR057,user057,user057@corp.com,8,CEDI02,root,2024-06-03,13:01:03,null,null,null,true,false
USR058,user058,user058@corp.com,3,CEDI03,root,2022-06-01,11:59:41,admin,2023-02-01,18:32:59,true,false
USR059,user059,user059@corp.com,1,CEDI01,admin,2022-02-12,15:11:07,admin,2023-03-21,13:40:58,true,false
USR060,user060,user060@corp.com,9,CEDI02,system,2023-07-17,08:05:55,null,null,null,false,true
USR061,user061,user061@corp.com,2,CEDI04,root,2023-12-14,15:20:21,admin,2024-08-29,08:34:28,true,false
USR062,user062,user062@corp.com,6,CEDI04,root,2022-03-23,22:48:22,admin,2022-06-08,18:16:21,true,false
USR063,user063,user063@corp.com,6,CEDI03,root,2022-07-10,01:42:11,null,null,null,true,false
USR064,user064,user064@corp.com,3,CEDI02,system,2024-11-04,18:05:24,null,2024-12-14,14:27:09,true,false
USR065,user065,user065@corp.com,8,CEDI05,system,2023-09-15,22:37:09,system,2024-12-22,04:21:18,true,false
USR066,user066,user066@corp.com,2,CEDI05,admin,2023-01-06,12:58:16,null,null,null,true,false
USR067,user067,user067@corp.com,1,CEDI02,admin,2023-12-30,06:33:02,admin,2024-06-26,06:23:46,true,false
USR068,user068,user068@corp.com,8,CEDI05,system,2023-06-09,19:06:28,system,2024-01-26,14:50:06,true,false
USR069,user069,user069@corp.com,4,CEDI03,root,2024-11-15,16:16:30,null,null,null,true,false
USR070,user070,user070@corp.com,4,CEDI05,root,2024-06-06,21:37:24,admin,2024-08-22,02:55:12,false,false
USR071,user071,user071@corp.com,7,CEDI02,system,2023-12-11,15:08:07,admin,2024-12-28,05:20:39,true,false
USR072,user072,user072@corp.com,8,CEDI04,admin,2024-01-19,01:17:19,null,null,null,true,false
USR073,user073,user073@corp.com,10,CEDI04,system,2022-07-07,05:58:11,admin,2024-05-23,09:31:33,true,false
USR074,user074,user074@corp.com,8,CEDI04,system,2022-09-01,13:18:39,admin,2023-12-27,04:55:12,true,false
USR075,user075,user075@corp.com,10,CEDI03,system,2023-06-05,23:26:57,null,null,null,true,true
USR076,user076,user076@corp.com,8,CEDI04,root,2022-07-28,16:26:43,admin,2022-09-07,14:03:46,true,false
USR077,user077,user077@corp.com,6,CEDI05,system,2022-12-19,18:24:26,null,2024-07-27,00:20:29,true,false
USR078,user078,user078@corp.com,4,CEDI01,system,2022-06-05,15:50:08,null,null,null,true,false
USR079,user079,user079@corp.com,4,CEDI03,system,2022-05-26,05:34:01,null,2023-02-05,00:36:50,true,false
USR080,user080,user080@corp.com,9,CEDI02,root,2024-11-18,03:46:17,system,2024-11-26,18:47:58,false,false
USR081,user081,user081@corp.com,10,CEDI03,admin,2022-04-10,18:06:50,null,null,null,true,false
USR082,user082,user082@corp.com,5,CEDI01,admin,2022-11-16,06:07:54,system,2024-08-13,15:20:26,true,false
USR083,user083,user083@corp.com,5,CEDI01,admin,2022-01-22,11:43:09,admin,2023-01-05,08:23:53,true,false
USR084,user084,user084@corp.com,6,CEDI03,admin,2024-12-24,07:22:13,null,null,null,true,false
USR085,user085,user085@corp.com,10,CEDI04,system,2022-08-01,07:03:41,system,2023-03-22,22:48:18,true,false
USR086,user086,user086@corp.com,10,CEDI05,system,2023-10-12,06:35:45,admin,2024-09-17,13:35:25,true,false
USR087,user087,user087@corp.com,9,CEDI01,admin,2024-09-11,22:21:21,null,null,null,true,false
USR088,user088,user088@corp.com,1,CEDI02,admin,2023-12-23,06:00:40,null,2024-10-10,03:31:34,true,false
USR089,user089,user089@corp.com,3,CEDI04,system,2022-07-28,08:46:12,null,2022-09-19,11:50:41,true,false
USR090,user090,user090@corp.com,3,CEDI05,system,2023-08-13,04:24:04,null,null,null,false,true
USR091,user091,user091@corp.com,7,CEDI01,system,2022-03-01,12:05:12,admin,2024-04-11,13:00:28,true,false
USR092,user092,user092@corp.com,1,CEDI01,system,2023-12-14,12:01:29,admin,2024-08-27,22:24:58,true,false
USR093,user093,user093@corp.com,6,CEDI05,root,2024-06-13,11:33:26,null,null,null,true,false
USR094,user094,user094@corp.com,6,CEDI04,admin,2023-03-30,03:47:03,null,2023-09-03,19:54:01,true,false
USR095,user095,user095@corp.com,6,CEDI02,system,2022-08-07,05:50:32,system,2023-10-11,11:39:34,true,false
USR096,user096,user096@corp.com,6,CEDI01,system,2022-04-20,04:20:14,null,null,null,true,false
USR097,user097,user097@corp.com,3,CEDI03,system,2022-07-29,12:56:41,admin,2023-06-18,11:58:56,true,false
USR098,user098,user098@corp.com,2,CEDI03,system,2023-01-07,13:42:54,null,2024-12-29,10:26:37,true,false
USR099,user099,user099@corp.com,7,CEDI01,system,2023-12-27,03:44:53,null,null,null,true,false
USR100,user100,user100@corp.com,6,CEDI02,root,2024-12-19,19:01:56,system,2024-12-30,04:33:13,false,false
